Place,Latitude,Longitude
"Batumi, open",41.6461,41.6405
"Sarafovo, open",42.5625,27.5326
"Sarafovo, cabin",42.5625,27.5326
"Letnany, open",50.1372,14.5166
"Letnany, cabin",50.1372,14.5166
"Moscow, open",55.7558,37.6173
"Moscow, cabin",55.7558,37.6173
"Zvenigorod, open",55.7314,36.8552
"Zvenigorod, cabin",55.7314,36.8552
"Usti, open",50.6611,14.0531
"Usti, cabin",50.6611,14.0531
"Orgovany, open",46.7498,19.4746
"Orgovany, cabin",46.7498,19.4746
Sogn,61.5539,6.3326
Bergen Tidende,60.3913,5.3221
Bergen VERITAS,60.3913,5.3221
Bergen Stend,60.3913,5.3221
Bergen Frederiksberg,60.3913,5.3221
Bergen Minde,60.3913,5.3221
Borregard,59.2858,11.1119
Alvim,59.2747,11.0844
Brevik,59.0555,9.698
Porsgrunn,59.1386,9.6555
Lillestrom,59.956,11.0504
Trondheim,63.4305,10.3951
Storrd 5,59.7952,5.5079
Mongstad,60.803,5.0233
Chicago,41.8781,-87.6298
Detroit,42.3314,-83.0458
Cincinnati,39.1031,-84.512
Los Angeles,34.0549,-118.2426
New Orleans,29.9511,-90.0715
Philadelphia,39.9526,-75.1652
San Francisco,37.7749,-122.4194
Washington,47.7511,-120.7401
