Unnamed: 0,Stahl,Unnamed: 2,Zink,Unnamed: 4,Kupfer,Unnamed: 6,Aluminium,Unnamed: 8
,B1,B2,B1,B2,B1,B2,B1,B2
,,,,,,,,
b-Werte,0.523,0.575,0.813,0.873,0.667,0.726,0.728,0.807
,,,,,,,,
t-(Jahre),,,,,,,,
1,1,1,1,1,1,1,1,1
2,1.437,1.49,1.757,1.831,1.588,1.654,1.656,1.75
3,1.776,1.881,2.443,2.609,2.081,2.22,2.225,2.427
4,2.065,2.219,3.087,3.354,2.521,2.736,2.743,3.061
5,2.32,2.523,3.701,4.076,2.926,3.217,3.227,3.665
6,2.553,2.802,4.292,4.779,3.304,3.672,3.685,4.246
7,2.767,3.061,4.865,5.467,3.662,4.107,4.123,4.808
8,2.967,3.306,5.423,6.143,4.003,4.525,4.544,5.355
9,3.156,3.537,5.968,6.809,4.33,4.929,4.951,5.889
10,3.334,3.758,6.501,7.464,4.645,5.321,5.346,6.412
11,3.505,3.97,7.025,8.112,4.95,5.702,5.73,6.925
12,3.668,4.174,7.54,8.752,5.246,6.074,6.104,7.428
13,3.825,4.37,8.047,9.386,5.534,6.438,6.471,7.924
14,3.976,4.561,8.547,10.013,5.814,6.793,6.829,8.413
15,4.122,4.745,9.04,10.635,6.088,7.142,7.181,8.894
16,4.263,4.925,9.527,11.251,6.355,7.485,7.527,9.37
17,4.401,5.099,10.008,11.863,6.618,7.822,7.866,9.839
18,4.534,5.27,10.484,12.47,6.875,8.153,8.2,10.304
19,4.664,5.436,10.955,13.072,7.127,8.48,8.53,10.764
20,4.791,5.599,11.422,13.671,7.375,8.801,8.854,11.218
25,5.384,6.365,13.694,16.611,8.559,10.349,10.416,13.432
30,5.923,7.069,15.882,19.477,9.666,11.814,11.814,15.561
35,6.42,7.724,18.002,22.283,10.713,13.213,13.307,17.622
40,6.885,8.34,20.067,25.038,11.71,14.558,14.666,19.627
45,7.322,8.925,22.083,27.749,12.668,15.857,15.979,21.585
50,7.737,9.482,24.058,30.423,13.59,17.118,17.252,23.5
60,8.511,10.53,27.902,35.672,15.347,19.541,19.701,27.225
70,9.225,11.506,31.627,40.81,17.009,21.855,22.041,30.831
80,9.893,12.424,35.254,45.856,18.593,24.079,24.291,34.339
90,10.521,13.295,38.797,50.822,20.113,26.229,26.466,37.764
100,11.117,14.125,42.267,55.719,21.577,28.314,28.576,41.115
